PMID,Title,Abstract,FirstAuthor,LastAuthor,Journal,Year,DOI,PMCID,OA_Status,Fulltext_URL
26689461,Silencing TNFα with lipidoid nanoparticles downregulates both TNFα and MCP-1 in an in vitro co-culture model of diabetic foot ulcers.,"UNLABELLED: Diabetes is one of the most formidable diseases facing the world today, with the number of patients growing every year. Poor glycemic control yields a host of complications, such as impaired wound healing. This often results in the formation of diabetic foot ulcers, which carry a poor prognosis because they are notoriously difficult to treat. Current therapies do not address the increased number of infiltrating macrophages to the wound bed that overproduce tumor necrosis factor α (TNFα), which increases fibroblast apoptosis and collagen dismantling and decreases angiogenesis. In this study, we investigated the potential of RNA interference therapy to reduce the inappropriately high levels of TNFα in the wound bed. Although TNFα is a challenging gene silencing target, our lipidoid nanoparticles potently silence TNFα mRNA and protein expression at siRNA doses of 5-100nM without inducing vehicle-related gene silencing or cell death. We also describe the creation of an in vitro macrophage-fibroblast co-culture model, which reflects the TNFα and monocyte chemotactant protein-1 (MCP-1/CCL2) cross-talk that exists in diabetic wounds. Because TNFα induces fibroblasts to produce MCP-1, we show that silencing TNFα results in a downregulation of MCP-1, which should inhibit the recruitment of additional macrophages to the wound. In co-culture experiments, a single lipidoid nanoparticle dose of 100nM siTNFα downregulated TNFα and MCP-1 by 64% and 32%, respectively. These data underscore the potential of lipidoid nanoparticle RNAi treatment to inhibit a positive feedback cycle that fuels the pathogenesis of diabetic foot ulcers. STATEMENT OF SIGNIFICANCE: Diabetic foot ulcers are a rapidly growing issue worldwide, with current ulcer treatments not as effective as desired. RNA interference therapy represents a largely untapped possible solution to impaired wound healing. We show that siRNA-loaded lipidoid nanoparticles silence the overexpression of tumor necrosis factor α (TNFα) in inflammatory macrophages which leads to a subsequent downregulation of fibroblast-produced macrophage chemotactant protein-1 (MCP-1). Both TNFα and MCP-1 are critical components of the inflammatory feedback loop that exists in chronic wounds. In contrast to the majority of wound drug delivery studies, our study utilizes macrophage/fibroblast co-culture experiments to recapitulate a multicellular wound environment in which cytokine signaling influences inflammation. Results underscore the therapeutic potential of siRNA nanoparticles directed against TNFα in inhibiting two key inflammatory targets in chronic wounds.",Kasiewicz Lisa N,Whitehead Kathryn A,Acta biomaterialia,2016,10.1016/j.actbio.2015.12.023,,CLOSED,
29688101,The efficiency of lipid nanoparticles with an original cationic lipid as a siRNA delivery system for macrophages and dendritic cells.,"Small interfering of RNA (siRNA) technology has the potential to be a next-generation therapy. However, naked siRNA does not have high transfection efficiency and is rapidly degraded after systemic injection, so an appropriate drug delivery system (DDS) is required for clinical use. Several potential systems have been assessed, clinically focusing on hepatocyte or cancer tissue using siRNA. However, targeting immune cells using siRNA is still challenging, and a new DDS is required. In this study, we prepared lipid nanoparticles (LNP) composed of original cationic lipid, neutral lipid of DOPE (1,2-dioleoyl-sn-glycero-3-phosphoethanolamine) and PEG2000-DMPE (N-(carbonyl-methoxypolyethyleneglycol 2000)-1,2-dimyristoyl-sn-glycero-3-phosphoethanolamine, sodium salt). Our LNP encapsulating siRNA (LNP/siRNA) exerted a knock-down (KD) effect on mouse inflammatory peritoneal macrophages in vitro. In addition, an in vivo KD effect by systemic administration of LNP/siRNA was observed in macrophages and dendritic cells (DCs) in mice. Furthermore, our LNP/siRNA showed in vitro KD effects not only on murine cells but also on human cells like monocyte-derived macrophages (MDMs) and monocyte-derived DCs (MDDCs). These results indicate the potential utility of our LNP for siRNA-based therapy targeting macrophages and DCs. Because these cells are known to have a significant role in several kinds of diseases, and siRNA can specifically suppress target genes that are closely associated with disease states and are untreatable by small molecules or antibodies. Therefore, delivering siRNA by our LNP to macrophages and DCs could provide novel therapies.",Uemura Yasunori,Kobayashi Katsuya,Pharmaceutical development and technology,2019,10.1080/10837450.2018.1469149,,CLOSED,
31214204,Silencing SOCS1 via Liposome-Packed siRNA Sustains TLR4-Ligand Adjuvant.,"Infectious diseases remain one of the leading causes of death worldwide. Vaccination is a powerful instrument to avert a variety of those by inducing a pathogen-specific immune response and ensure a long-lasting protection against the respective infection. Nevertheless, due to increasing numbers of immunocompromised patients and emergence of more aggressive pathogens existing vaccination techniques are limited. In our study we investigated a new strategy to strengthen vaccine adjuvant in order to increase immunity against infectious diseases. The strategy is based on an amplification of Toll-like receptor 4 (TLR4) -induced activation of antigen-presenting cells (APCs) by turning off a powerful endogenous inhibitor of APC-activation. TLR4 signaling induces the release of cytokines that bind autocrine and paracrine to receptors, activating the Janus kinase (JAK) 2/signal transducers and activators of transcription (STAT) 3 cascade. Subsequently, STAT3 induces expression of suppressor of cytokine signaling (SOCS) 1 that terminates the inflammatory response. In the approach, TLR4-adjuvant monophosphoryl lipid A (MPLA)-stimulated monocyte-activation is reinforced and sustained by silencing SOCS1 via lipid nanoparticle-enclosed siRNA (L-siRNA). L-siRNA is transported into primary cells without any toxic side effects and protected from early degradation. Through lipid core-embedded functional groups the lipid particle escapes from endosomes and releases the siRNA when translocated into the cytoplasm. SOCS1 is potently silenced, and SOCS1-mediated termination of NFκB signaling is abrogated. Consequently, the MPLA-stimulated activation of APCs, monitored by release of pro-inflammatory cytokines such as IL-6, TNFα, and IL-1β, upregulation of MHC class II molecules and costimulatory CD80/CD86 is strongly enhanced and prolonged. SOCS1-silenced APCs, pulsed with liposomal tetanus light chain toxin (TeTxLC) antigen, activate autologous T cells much more intensively than SOCS1-expressing cells. Importantly, expansion of cocultured CD4<sup>+</sup> as well as CD8<sup>+</sup> T cells is remarkably enhanced. Furthermore, our results point toward a broad T helper cell response as TH1 typical as well as TH2 characteristic cytokines are elevated. Taken together, this study in the human system comprises a translational potential to develop more effective vaccines against infectious diseases by inhibition of the endogenous negative-feedback loop in APCs.",Hildebrand Dagmar,Heeg Klaus,Frontiers in immunology,2019,10.3389/fimmu.2019.01279,PMC6558036,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6558036/
32649972,Manipulating the function of tumor-associated macrophages by siRNA-loaded lipid nanoparticles for cancer immunotherapy.,"The tumor-microenvironment contains large numbers of tumor-associated macrophages (TAMs) which are largely M2 phenotypes and are involved in pro-tumorous functions. Targeting TAMs so as to manipulate them and to modify their functions could be a novel immunotherapy for the treatment of cancer. Such a strategy would involve targeting TAMs with short interfering RNA (siRNA) to modify their functions by silencing certain genes that are responsible for their M2 polarization. In this study, a lipid nanoparticle (LNP) formulation was used to target and deliver siRNA to TAMs. The LNP was mainly composed of a novel, pH-sensitive cationic lipid, referred to as the CL4H6 lipid, which had previously been optimized to target hepatocytes. The optimized siRNA-loaded CL4H6-LNPs were selectively and efficiently taken up and showed strong gene silencing activity in TAMs in a human tumor xenograft model in nude mice. Furthermore, an anti-tumor therapeutic response in the same tumor model was obtained by targeting TAMs using the optimized siRNA-loaded CL4H6-LNPs. The anti-tumor therapeutic response was obtained through the silencing of the signal transducer and activator of transcription 3 (STAT3) and hypoxia inducible factor 1 α (HIF-1α), which resulted in an increase in the level of infiltrated macrophage (CD11b<sup>+</sup> cells) into the tumor-microenvironment (TME) as well as a tendency to increase the concentration of M1 macrophages (CD169<sup>+</sup> cells). The treatment also resulted in reversing the pro-tumorous functions of TAMs -mainly angiogenesis and tumor cell activation-, as evidenced by a decrease in the related gene expression at the mRNA level. This research has promising clinical and pharmaceutical applications for achieving novel macrophage-based cancer immunotherapy.",Shobaki Nour,Harashima Hideyoshi,Journal of controlled release : official journal of the Controlled Release Society,2020,10.1016/j.jconrel.2020.07.001,,CLOSED,
34132324,Identification of a potent ionizable lipid for efficient macrophage transfection and systemic anti-interleukin-1β siRNA delivery against acute liver failure.,"RNA interference (RNAi) therapy has great potential for treating inflammatory diseases. However, the development of potent carrier materials for delivering siRNA to macrophages is challenging. Herein, we design a set of ionizable lipid nanoparticles (LNPs) to screen and identify a potent carrier of siRNA for silencing an essential pro-inflammatory cytokine, interleukin-1β (IL-1β) in macrophages. The top performance LNP (114-LNP), containing ionizable lipid with spermine as an amine-head group, facilitated efficient siRNA internalization via multiple endocytosis pathways and achieved effective endosome escape in macrophages. The optimized LNP/siIL-1β achieved strong silencing of IL-1β in both activated Raw 264.7 cells and primary macrophages. Furthermore, systematic administration of 114-LNP/siIL-1β complexes could effectively inhibit IL-1β expression in an acute liver failure model and significantly attenuated hepatic inflammation and liver damage. These results suggest that the optimized ionizable lipid nanoparticle represents a promising platform for anti-inflammation therapies.",Ding Feng,Yang Chuanxu,Journal of materials chemistry. B,2021,10.1039/d1tb00736j,,CLOSED,
34958662,Suppression of fibrin(ogen)-driven pathologies in disease models through controlled knockdown by lipid nanoparticle delivery of siRNA.,"Fibrinogen plays a pathologic role in multiple diseases. It contributes to thrombosis and modifies inflammatory and immune responses, supported by studies in mice expressing fibrinogen variants with altered function or with a germline fibrinogen deficiency. However, therapeutic strategies to safely and effectively tailor plasma fibrinogen concentration are lacking. Here, we developed a strategy to tune fibrinogen expression by administering lipid nanoparticle (LNP)-encapsulated small interfering RNA (siRNA) targeting the fibrinogen α chain (siFga). Three distinct LNP-siFga reagents reduced both hepatic Fga messenger RNA and fibrinogen levels in platelets and plasma, with plasma levels decreased to 42%, 16%, and 4% of normal within 1 week of administration. Using the most potent siFga, circulating fibrinogen was controllably decreased to 32%, 14%, and 5% of baseline with 0.5, 1.0, and 2.0 mg/kg doses, respectively. Whole blood from mice treated with siFga formed clots with significantly decreased clot strength ex vivo, but siFga treatment did not compromise hemostasis following saphenous vein puncture or tail transection. In an endotoxemia model, siFga suppressed the acute phase response and decreased plasma fibrinogen, D-dimer, and proinflammatory cytokine levels. In a sterile peritonitis model, siFga restored normal macrophage migration in plasminogen-deficient mice. Finally, treatment of mice with siFga decreased the metastatic potential of tumor cells in a manner comparable to that observed in fibrinogen-deficient mice. The results indicate that siFga causes robust and controllable depletion of fibrinogen and provides the proof-of-concept that this strategy can modulate the pleiotropic effects of fibrinogen in relevant disease models.",Juang Lih Jiin,Kastrup Christian J,Blood,2022,10.1182/blood.2021014559,PMC8900269,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8900269/
38315853,Precision treatment of viral pneumonia through macrophage-targeted lipid nanoparticle delivery.,"Macrophages are integral components of the innate immune system, playing a dual role in host defense during infection and pathophysiological states. Macrophages contribute to immune responses and aid in combatting various infections, yet their production of abundant proinflammatory cytokines can lead to uncontrolled inflammation and worsened tissue damage. Therefore, reducing macrophage-derived proinflammatory cytokine release represents a promising approach for treating various acute and chronic inflammatory disorders. However, limited macrophage-specific delivery vehicles have hindered the development of macrophage-targeted therapies. In this study, we screened a pool of 112 lipid nanoparticles (LNPs) to identify an optimal LNP formulation for efficient siRNA delivery. Subsequently, by conjugating the macrophage-specific antibody F4/80 to the LNP surface, we constructed MacLNP, an enhanced LNP formulation designed for targeted macrophage delivery. In both in vitro and in vivo experiments, MacLNP demonstrated a significant enhancement in targeting macrophages. Specifically, delivery of siRNA targeting TAK1, a critical kinase upstream of multiple inflammatory pathways, effectively suppressed the phosphorylation/activation of NF-kB. LNP-mediated inhibition of NF-kB, a key upstream regulator in the classic inflammatory signaling pathway, in the murine macrophage cell line RAW264.7 significantly reduced the release of proinflammatory cytokines after stimulation with the viral RNA mimic Poly(I:C). Finally, intranasal administration of MacLNP-encapsulated TAK1 siRNA markedly ameliorated lung injury induced by influenza infection. In conclusion, our findings validate the potential of targeted macrophage interventions in attenuating inflammatory responses, reinforcing the potential of LNP-mediated macrophage targeting to treat pulmonary inflammatory disorders.",Zhao Gan,Vaughan Andrew E,Proceedings of the National Academy of Sciences of the United States of America,2024,10.1073/pnas.2314747121,PMC10873611,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10873611/
38558434,Macrophage Checkpoint Nanoimmunotherapy Has the Potential to Reduce Malignant Progression in Bioengineered <i>In Vitro</i> Models of Ovarian Cancer.,"Most ovarian carcinoma (OvCa) patients present with advanced disease at the time of diagnosis. Malignant, metastatic OvCa is invasive and has poor prognosis, exposing the need for improved therapeutic targeting. High CD47 (OvCa) and SIRPα (macrophage) expression has been linked to decreased survival, making this interaction a significant target for therapeutic discovery. Even so, previous attempts have fallen short, limited by CD47 antibody specificity and efficacy. Macrophages are an important component of the OvCa tumor microenvironment and are manipulated to aid in cancer progression via CD47-SIRPα signaling. Thus, we have leveraged lipid-based nanoparticles (LNPs) to design a therapy uniquely situated to home to phagocytic macrophages expressing the SIRPα protein in metastatic OvCa. CD47-SIRPα presence was evaluated in patient histological sections using immunohistochemistry. 3D tumor spheroids generated on a hanging drop array with OVCAR3 high-grade serous OvCa and THP-1-derived macrophages created a representative model of cellular interactions involved in metastatic OvCa. Microfluidic techniques were employed to generate LNPs encapsulating SIRPα siRNA (siSIRPα) to affect the CD47-SIRPα signaling between the OvCa and macrophages. siSIRPα LNPs were characterized for optimal size, charge, and encapsulation efficiency. Uptake of the siSIRPα LNPs by macrophages was assessed by Incucyte. Following 48 h of 25 nM siSIRPα treatment, OvCa/macrophage heterospheroids were evaluated for SIRPα knockdown, platinum chemoresistance, and invasiveness. OvCa patient tumors and <i>in vitro</i> heterospheroids expressed CD47 and SIRPα. Macrophages in OvCa spheroids increased carboplatin resistance and invasion, indicating a more malignant phenotype. We observed successful LNP uptake by macrophages causing significant reduction in <i>SIRPα</i> gene and protein expressions and subsequent reversal of pro-tumoral alternative activation. Disrupting CD47-SIRPα interactions resulted in sensitizing OvCa/macrophage heterospheroids to platinum chemotherapy and reversal of cellular invasion outside of heterospheroids. Ultimately, our results strongly indicate the potential of using LNP-based nanoimmunotherapy to reduce malignant progression of ovarian cancer.",VandenHeuvel Sabrina N,Raghavan Shreya A,ACS applied bio materials,2024,10.1021/acsabm.4c00076,PMC11653402,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11653402/
38646640,Lipid nanoparticle encapsulated large peritoneal macrophages migrate to the lungs via the systemic circulation in a model of clodronate-mediated lung-resident macrophage depletion.,"<b>Rationale:</b> A mature tissue resident macrophage (TRM) population residing in the peritoneal cavity has been known for its unique ability to migrate to peritoneally located injured tissues and impart wound healing properties. Here, we sought to expand on this unique ability of large peritoneal macrophages (LPMs) by investigating whether these GATA6+ LPMs could also intravasate into systemic circulation and migrate to extra-peritoneally located lungs upon ablating lung-resident alveolar macrophages (AMs) by intranasally administered clodronate liposomes in mice. <b>Methods:</b> C12-200 cationic lipidoid-based nanoparticles were employed to selectively deliver a small interfering RNA (siRNA)-targeting CD-45 labeled with a cyanine 5.5 (Cy5.5) dye to LPMs <i>in vivo</i> via intraperitoneal injection. We utilized a non-invasive optical technique called Diffuse <i>In Vivo</i> Flow Cytometry (DiFC) to then systemically track these LPMs in real time and paired it with more conventional techniques like flow cytometry and immunocytochemistry to initially confirm uptake of C12-200 encapsulated siRNA-Cy5.5 (siRNA-Cy5.5 (C12-200)) into LPMs, and further track them from the peritoneal cavity to the lungs in a mouse model of AM depletion incited by intranasally administered clodronate liposomes. Also, we stained for LPM-specific marker zinc-finger transcription factor GATA6 in harvested cells from biofluids like broncho-alveolar lavage as well as whole blood to probe for Cy5.5-labeled LPMs in the lungs as well as in systemic circulation. <b>Results:</b> siRNA-Cy5.5 (C12-200) was robustly taken up by LPMs. Upon depletion of lung-resident AMs, these siRNA-Cy5.5 (C12-200) labeled LPMs rapidly migrated to the lungs via systemic circulation within 12-24 h. DiFC results showed that these LPMs intravasated from the peritoneal cavity and utilized a systemic route of migration. Moreover, immunocytochemical staining of zinc-finger transcription factor GATA6 further confirmed results from DiFC and flow cytometry, confirming the presence of siRNA-Cy5.5 (C12-200)-labeled LPMs in the peritoneum, whole blood and BALF only upon clodronate-administration. <b>Conclusion:</b> Our results indicate for the very first time that selective tropism, migration, and infiltration of LPMs into extra-peritoneally located lungs was dependent on clodronate-mediated AM depletion. These results further open the possibility of therapeutically utilizing LPMs as delivery vehicles to carry nanoparticle-encapsulated oligonucleotide modalities to potentially address inflammatory diseases, infectious diseases and even cancer.",Oza Dhaval,Amiji Mansoor,Theranostics,2024,10.7150/thno.91062,PMC11024852,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11024852/
40381523,Local delivery of siRNA using lipid-based nanocarriers with ROS-scavenging ability for accelerated chronic wound healing in diabetes.,"Diabetic wound healing poses a significant clinical challenge with limited therapeutic efficacy due to uncontrolled reactive oxygen species (ROS), inflammatory responses, and extracellular matrix (ECM) degradation caused by abnormal macrophage activity in the wound microenvironment. To address these concerns, we propose a novel formulation that combines Tempo-conjugated lipid with the commercially cationic lipid DOTAP to expedite diabetic wound healing through targeted siRNA delivery (cLpT@siRNA) and restoration of the wound microenvironment. The developed cLpT@siRNA nanocomplexes effectively scavenge excessive ROS levels, facilitate polarization of proinflammatory M1 macrophages towards an anti-inflammatory M2 phenotype, and suppress MMP9 gene expression in macrophages. In the ICR mouse model of diabetic wounds, cLpT@siRNA nanocomplexes significantly accelerate wound healing, promoting neovascularization and collagen deposition. Overall, the cLpT@siRNA nanocomplexes based on antioxidant and cationic lipids provide a promising strategy for delivering siRNA in diabetic wound treatment and hold great potential for clinical translation.",Li Yuanfeng,Li Dongdong,Biomaterials,2025,10.1016/j.biomaterials.2025.123411,,CLOSED,
40521193,Boosting mRNA cancer vaccine efficacy via targeting <i>Irg1</i> on macrophages in lymph nodes.,"<b>Rationale:</b> mRNA cancer vaccines show great promise for tumor therapy, but the therapeutic efficacy is limited. Metabolites play critical roles in immunomodulation. However, their role in mRNA cancer vaccines remains poorly understood. <b>Methods:</b> Metabolome analysis and single-cell RNA sequence were performed to explore the most important metabolite and its source cell. B16-F10-OVA-bearing wide-type and <i>Irg1</i>-depleted C57BL/6 mice were treated with OVA-LNP, OVA&si-Irg1-LNP, or anti-PD-1 antibody to evaluate therapeutic efficacy. Flow cytometry analysis was used to examine the immune cells within the lymph nodes, spleens, and the tumor immune environment. <b>Results:</b> We found that macrophage-derived itaconate was increased markedly in activated ipsilateral lymph nodes after ovalbumin-encoding mRNA-lipid nanoparticle (OVA-LNP) injection, compared to homeostatic contralateral lymph nodes. Depleting the immune-responsive gene 1(<i>Irg1</i>), which encodes the itaconate-production enzyme aconitate decarboxylase (ACOD1), in macrophages improved dendritic cell antigen presentation and enhances T cell function. Combining <i>Irg1</i> knockdown via small interfering RNA (siRNA) with OVA mRNA in LNPs augmented the therapeutic efficacy of mRNA cancer vaccines, both as monotherapy and in combination with an anti-programmed cell death-1 antibody. <b>Conclusions:</b> Our findings reveal a link between itaconate and mRNA cancer vaccines, suggesting that targeting <i>Irg1 via</i> siRNA-LNP could be a promising strategy to improve the therapeutic efficacy of mRNA cancer vaccines.",Wei Wenwen,Yang Kunyu,Theranostics,2025,10.7150/thno.110305,PMC12159843,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12159843/
40967321,Deciphering the role of polyethylene glycol-lipid anchors in siRNA-LNP efficacy for P2y2 inhibition in bone marrow-derived macrophages.,"Macrophages play a vital role in controlling tissue homeostasis, yet their dysregulation can drive the pathogenesis of various diseases. In this context, P2Y2, a purinergic receptor that binds ATP, could be involved in several biological mechanisms in inflammatory, infectious, or cancer diseases. Lipid nanoparticles (LNPs) varying by the difference of lipid moiety of the polyethyleneglycol-lipid (PEG-lipid) conjugate entering their composition were prepared by microfluidic mixing technology and loaded with a siRNA targeting the P2y2 mRNA. Three PEG-lipids with varying saturated alkyl chain lengths - DMG-PEG (C14), DPPE-PEG (C16), and DSPE-PEG (C18) - were evaluated for formulation optimization. The results showed that all siRNA-LNPs were efficiently taken up by unpolarized (M0) and M2-polarized bone marrow-derived macrophages (BMDMs). Despite comparable cellular uptake across formulations, their performance in gene silencing differed significantly. While (DMG-PEG)-LNPs demonstrated the highest efficacy in both cellular models, (DSPE-PEG)-LNPs remained ineffective in knocking down the target gene. Our findings further revealed that gene silencing is more efficient in M2 BMDMs than in M0 BMDMs, emphasizing the influence of macrophage polarization. Additionally, the PEG-lipid type notably influenced the intracellular distribution patterns of lipids and siRNA, with DPPE-PEG and DSPE-PEG formulations leading to higher siRNA compartmentalization. In contrast, the DMG-PEG formulation enabled more effective siRNA delivery to the cytoplasm. This research provides valuable insights into the impact of different PEG-lipid anchors on the performance of siRNA-LNPs targeting macrophages in vitro, paving the way for developing new macrophage-based immunotherapies.",Gül Sezen,Fattal Elias,International journal of pharmaceutics,2025,10.1016/j.ijpharm.2025.126186,,UNPAYWALL_OA,https://doi.org/10.1016/j.ijpharm.2025.126186
41333476,Comprehensive analysis of metabolism-related genes in sepsis reveals metabolic-immune heterogeneity and highlights GYG1 as a potential therapeutic target.,"BACKGROUND: Sepsis is a life-threatening syndrome characterized by dysregulated host immune responses, yet the metabolic drivers of immune dysfunction remain poorly understood. METHODS: Here we systematically profiled metabolism-related genes (MRGs) in sepsis using bulk transcriptomic data and stratified patients into two subgroups with distinct immune infiltration profiles by MRGs, as assessed by CIBERSORT and single-cell RNA-seq integration. Machine learning identified five hub metabolic genes for constructing a metabolic risk score, whose prognostic relevance was robustly validated in an external cohort. Single cell analyses, cell-cell communication, and cell-type-specific differential expression analyses were performed to dissect the immunological context. Finally, <i>in vivo</i> validation was conducted using an LPS-induced sepsis mouse model. RESULTS: Patients in the high metabolic risk group exhibited a neutrophil-dominant and lymphocyte-suppressed immune landscape, consistent across bulk and single-cell analyses. Among the five hub genes (ALPL, CYP1B1, GYG1, OLAH, VNN1), GYG1 demonstrated the strongest predictive performance and was highly expressed in monocytes, neutrophils, and proliferating myeloid cells. High-risk patients displayed intensified monocyte-dendritic cell interactions and transcriptional programs enriched in neutrophil degranulation pathways. <i>In vivo</i>, Gyg1 was markedly upregulated in septic mice, and LNP-mediated siRNA knockdown of Gyg1 significantly improved survival in the LPS model. Mechanistically, Gyg1 knockdown significantly reduced glycogen content in myeloid cells, attenuated IL-6 and TNF-α production, alleviated LPS-induced neutrophil, and modestly decreased CD40 expression in monocytes and dendritic cells. These results collectively suggest that Gyg1 regulates metabolic fueling of inflammatory activation and intercellular communication during sepsis. CONCLUSIONS: This integrative multi-omics study established a robust immune-metabolic risk score system to predict sepsis patient outcomes and identified GYG1 as a metabolic driver of innate immune hyperactivation. Targeting GYG1 via LNP-siRNA delivery reduces glycogen availability and inflammatory output in myeloid cells, mitigating immune overactivation and improving disease outcomes <i>in vivo</i>, thereby highlighting its potential as a novel therapeutic target for sepsis.",Zheng Jie,Qin Song,Frontiers in immunology,2025,10.3389/fimmu.2025.1682846,PMC12665779,PMC_OA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12665779/
41371503,Pulmonary macrophage-targeted RNAi and mRNA co-delivery via SORT lipid nanoparticles enhances immunotherapy in lung cancer.,"Neoadjuvant immunotherapy has transformed perioperative approaches for resectable non-small cell lung cancer (NSCLC) by stimulating anti-tumor immunity preoperatively; however, approximately 50 % of patients fail to show clinical responses. Single-cell RNA sequencing identifies SPP1<sup>+</sup> macrophages as a significant obstacle in NSCLC immunotherapy, yet scarce researches have focused on selectively targeting this subset. Herein, we engineer mannose-modified selective organ-targeting lipid nanoparticles (SORT LNPs) that co-load SPP1-siRNA and interferon-γ (IFN-γ) mRNA (siSPP1-mIFNγ@mLNPs) for lung-restricted, mannose receptor-guided delivery to SPP1<sup>+</sup> macrophages. Co-encapsulation of siSPP1 and mIFNγ mRNA within mLNPs yields a synergistic effect that surpasses individual encapsulation, as it reverses the M2-like properties of SPP1<sup>+</sup> macrophages, diminishes their tumor-promoting functions, and reprograms them towards a tumoricidal phenotype. When combined with the immune checkpoint inhibitors (ICIs) in vivo, siSPP1-mIFNγ@mLNPs significantly boost anti-tumor immune responses in both orthotopic lung cancer and pulmonary metastases. Overall, siSPP1-mIFNγ@mLNPs present innovative perspectives for precise cell-type targeting strategies and position SPP1<sup>+</sup> macrophage reprogramming as a clinically actionable strategy to convert ICI non-responders into long-term survivors.",Liang Qing,Gao Shugeng,Journal of controlled release : official journal of the Controlled Release Society,2026,10.1016/j.jconrel.2025.114519,,CLOSED,
41729255,Immunomodulatory strategies and targeted delivery systems in atherosclerosis therapy.,"INTRODUCTION: Atherosclerosis (AS) is a chronic inflammatory disease where lipid-lowering therapy alone leaves 30-40% residual cardiovascular risk, underscoring the need for immunomodulatory interventions. AREAS COVERED: This review synthesizes literature (1990-2024) on AS immunopathology and targeted nanomedicine. EXPERT OPINION: Key mechanisms include dysregulated macrophage polarization (M1/M2 imbalance), Th1/Treg dysfunction, NLRP3 inflammasome activation, and NETosis. Immunomodulatory strategies are shifting from broad immunosuppression toward subset-specific precision intervention - targeting mitochondrial fission (DRP1), ANGPTL3, or epigenetic regulators (SET7). Concurrently, nanodelivery systems have evolved from single-ligand targeting to smart, biomimetic platforms (e.g. VLA-4/VCAM-1 dual-targeting, ROS-responsive release) that enhance spatiotemporal precision. Emerging frontiers include immunometabolic crosstalk (cholesterol crystals activating cGAS-STING) and interventions disrupting immune cell communication (LNP-delivered NLRP3 siRNA, PAD4 inhibitors). Major challenges persist - suboptimal plaque penetration, hepatic nanocarrier accumulation, and risks of systemic immunosuppression. Future breakthroughs require dual-modal platforms integrating immunomodulation with metabolic reprogramming, and multi-omics-guided personalized systems that leverage spatial transcriptomics to tailor delivery to patient-specific inflammatory niches. Bridging the gap between mechanistic elegance and clinical efficacy demands humanized models and flexible trial designs.",Jiang Wei,Liu Qiang,Expert opinion on drug delivery,2026,10.1080/17425247.2026.2636761,,CLOSED,
41774227,M2pep-modified liposomal nanoparticles delivering siITGB4 induce apoptosis and inhibit NSCLC metastasis via macrophage reprogramming.,"Non-small cell lung cancer (NSCLC) metastasis, driven by tumor-associated macrophages (TAMs), remains a significant challenge due to poor prognosis and limited therapeutic options. This study developed DSPE-PEG-M2pep-modified liposomal nanoparticles (M2pep-LNP@siITGB4) delivering siRNA targeting integrin β4 (siITGB4) to reprogram M2 TAMs and induce apoptosis in NSCLC cells, thereby inhibiting metastasis. Cationic liposomes were prepared using thin-film hydration and ultrasonic emulsification, with M2pep peptides enhancing targeted delivery to M2 macrophages. In vitro, THP-1-derived M2 macrophages were co-cultured with A549 and NCI-H1299 cells, and the effects on macrophage polarization and tumor cell behavior were assessed via RT-qPCR, Western blot, and Transwell assays. In vivo, A549 xenograft and lung metastasis models were analyzed using IVIS, flow cytometry, and RNA sequencing. M2pep-LNP@siITGB4 downregulated M2 markers (CD206, Arg1, IL-10), upregulated M1 markers (CD86, iNOS), and increased CD8 + T cell infiltration. Silencing ITGB4 reduced GNB5 expression and FAK/Src/AKT phosphorylation, promoting apoptosis and inhibiting epithelial-mesenchymal transition (EMT). RNA-seq revealed 3494 differentially expressed genes, with suppressed ECM-receptor interactions. Tumor volumes and metastatic lesions were significantly reduced. This approach effectively reprograms TAMs, induces tumor cell apoptosis, and suppresses NSCLC metastasis, offering a novel nanomedicine-based strategy for enhancing anti-tumor immunity and improving therapeutic outcomes in NSCLC.",Huang Xiaofeng,Mi Yedong,Apoptosis : an international journal on programmed cell death,2026,10.1007/s10495-025-02243-5,,CLOSED,
